last_changed,aqi_sciosense,eco2,humidity,sound,temperature,tvoc,fteg,radar_sensor,occupancy
2024-12-13T17:48:21,163,1217,31.31,744.374,24.55,1331,29.77,0,5
2024-12-13T17:48:22,163,1217,31.27,445.43875,24.53,1331,24.71,6,5
2024-12-13T17:48:23,161,1213,31.27,545.1633333,24.53,1319,20.35,6,5
2024-12-13T17:48:24,161,1213,31.29,744.6145455,24.53,1319,20.97,0,5
2024-12-13T17:48:25,161,1213,31.29,552.6866667,24.53,1319,15.73,6,5
2024-12-13T17:48:26,157,1202,31.31,666.4471429,24.55,1285,22.22,6,5
2024-12-13T17:48:27,158,1203,31.31,507.5133333,24.55,1288,29.39,6,5
2024-12-13T17:48:28,158,1203,31.31,657.905,24.55,1288,36.82,6,5
2024-12-13T17:48:29,158,1203,31.31,633.7655556,24.53,1288,44.62,0,5
2024-12-13T17:48:30,158,1201,31.31,532.205,24.53,1282,41.38,6,5
2024-12-13T17:48:31,158,1201,31.27,588.68125,24.53,1282,41.38,6,5
2024-12-13T17:48:32,163,1214,31.27,702.1357143,24.53,1322,53.3,6,5
2024-12-13T17:48:33,163,1214,31.31,602.4115385,24.55,1322,53.48,6,5
2024-12-13T17:48:34,162,1213,31.31,741.714,24.55,1319,59.35,6,5
2024-12-13T17:48:35,162,1213,31.29,541.8066667,24.55,1319,65.72,6,5
2024-12-13T17:48:36,157,1201,31.29,645.0545455,24.55,1282,70.71,6,5
2024-12-13T17:48:37,157,1201,31.27,643.58125,24.52,1282,64.28,6,5
2024-12-13T17:48:38,154,1188,31.27,562.733,24.52,1242,61.66,6,5
2024-12-13T17:48:39,154,1188,31.31,608.02375,24.53,1242,66.09,6,5
2024-12-13T17:48:40,159,1200,31.31,580.461,24.53,1279,73.21,6,5
2024-12-13T17:48:41,159,1200,31.31,713.5241667,24.55,1279,74.14,0,5
2024-12-13T17:48:42,161,1207,31.31,557.494,24.55,1301,70.52,7,5
2024-12-13T17:48:43,161,1207,31.31,640.7916667,24.55,1301,70.52,7,5
2024-12-13T17:48:44,161,1207,31.35,658.9241667,24.55,1301,72.27,7,5
2024-12-13T17:48:45,159,1204,31.35,620.6911111,24.55,1291,88.87,7,5
2024-12-13T17:48:46,159,1204,31.31,723.6636364,24.55,1291,88.87,7,5
2024-12-13T17:48:47,161,1210,31.31,492.5141667,24.55,1310,96.86,7,5
2024-12-13T17:48:48,161,1210,31.29,495.8342857,24.55,1310,108.59,7,5
